speaker_id	aliases	voice_type	cn_voice_name	cn_style	cn_pitch	cn_rate	cn_volume
マシュ	マシュ	young_female	zh-TW-HsiaoChenNeural		+3%	0.97	100
ダ・ヴィンチ	ダ・ヴィンチ|ダ・ヴィンチちゃん	child_female	zh-CN-XiaoyouMultilingualNeural	cute	+7%	1.06	100
？？？	？？？	androgynous	zh-CN-YunxiaNeural		+2%	0.98	100
ゴルドルフ	ゴルドルフ	mature_male	zh-CN-YunzeNeural		-4%	0.94	100
ホームズ	ホームズ	mature_male	zh-CN-YunjianNeural		-2%	0.95	100
Dr.ロマン	Dr.ロマン	young_male	zh-CN-YunxiNeural	chat	+1%	1.00	100
カドック	カドック	young_male	zh-TW-YunJheNeural		0%	0.96	100
ジャンヌ・オルタ	ジャンヌ・オルタ	young_female	zh-CN-XiaoruiNeural		-3%	0.94	100
モリアーティ	モリアーティ	mature_male	zh-CN-YunzeNeural		-5%	0.93	100
エリザベート	エリザベート	young_female	zh-TW-HsiaoYuNeural		+5%	1.04	100
シオン	シオン	young_female	zh-CN-XiaochenNeural		+1%	0.98	100
坂田金時	坂田金時	mature_male	zh-CN-YunfengNeural		-2%	1.00	100
武蔵	武蔵	young_female	zh-TW-HsiaoYuNeural		+1%	1.02	100
アルトリア	アルトリア	young_female	zh-TW-HsiaoChenNeural		0%	0.96	100
フォウ	フォウ	monster	zh-CN-XiaoshuangNeural		+6%	1.05	100
刑部姫	刑部姫	young_female	zh-CN-XiaomengNeural	chat	+4%	1.02	100
カーマ	カーマ	young_female	zh-CN-XiaomoNeural		+1%	0.95	100
モードレッド	モードレッド	androgynous	zh-CN-YunxiaNeural		+1%	0.99	100
オベロン	オベロン	androgynous	zh-CN-YunyeNeural		-1%	0.96	100
イアソン	イアソン	young_male	zh-CN-YunxiNeural	chat	+1%	1.03	100
ネモ	ネモ	young_male	zh-CN-YunxiaoMultilingualNeural		+2%	0.98	100
オルガマリー	オルガマリー	young_female	zh-CN-XiaozhenNeural	serious	0%	0.96	100
黒髭	黒髭	mature_male	zh-CN-YunfengNeural	cheerful	-4%	1.02	100
エルメロイⅡ世	エルメロイⅡ世	mature_male	zh-CN-YunjianNeural	serious	-3%	0.94	100
コヤンスカヤ	コヤンスカヤ	mature_female	zh-CN-XiaomoNeural	calm	0%	0.95	100
ロビンフッド	ロビンフッド	young_male	zh-CN-YunfanMultilingualNeural		0%	0.98	100
紫式部	紫式部	mature_female	zh-CN-XiaoqiuNeural		-1%	0.94	100
イシュタル	イシュタル	young_female	zh-CN-XiaoyiNeural	cheerful	+3%	1.02	100
メドゥーサ	メドゥーサ	mature_female	zh-CN-XiaoruiNeural	calm	-2%	0.94	100
葛飾北斎	葛飾北斎	young_female	zh-CN-XiaoyuMultilingualNeural		+2%	1.02	100
ニトクリス	ニトクリス	young_female	zh-CN-XiaohanNeural	embarrassed	+2%	0.99	100
アビゲイル	アビゲイル	child_female	zh-CN-XiaoyouNeural	cute	+7%	0.96	100
ネロ	ネロ	young_female	zh-CN-XiaomengNeural	chat	+5%	1.05	100
ギルガメッシュ	ギルガメッシュ	mature_male	zh-CN-YunhaoNeural		-4%	0.94	100
茨木童子	茨木童子	child_female	zh-CN-XiaoyouNeural	angry	+5%	1.02	100
源頼光	源頼光	mature_female	zh-CN-XiaorouNeural		-1%	0.94	100
マンドリカルド	マンドリカルド	young_male	zh-CN-YunyiMultilingualNeural		0%	0.96	100
ＢＢ	ＢＢ	young_female	zh-CN-XiaochenMultilingualNeural		+3%	1.03	100
エミヤ	エミヤ	mature_male	zh-CN-YunjieNeural		-3%	0.95	100
太公望	太公望	young_male	zh-CN-YunyeNeural	cheerful	+1%	0.99	100
プトレマイオス	プトレマイオス	mature_male	zh-CN-YunyangNeural		-3%	0.95	100
天草四郎	天草四郎	young_male	zh-TW-YunJheNeural		+1%	0.97	100
カイニス	カイニス	androgynous	zh-CN-YunxiaNeural	angry	-1%	0.98	100
清姫	清姫	young_female	zh-CN-XiaoyiNeural	affectionate	+4%	0.99	100
ジャンヌ	ジャンヌ	young_female	zh-CN-XiaoxiaoMultilingualNeural	empathetic	+1%	0.96	100
清少納言	清少納言|なぎこ	young_female	zh-CN-XiaoyanNeural		+5%	1.05	100
スカサハ＝スカディ	スカサハ＝スカディ	mature_female	zh-CN-XiaohanNeural	calm	-2%	0.94	100
ラーマ	ラーマ	young_male	zh-CN-YunxiaNeural	cheerful	+3%	1.00	100
段蔵	段蔵	mechanical	zh-CN-XiaoxiaoNeural	assistant	-1%	0.92	100
千子村正	千子村正	mature_male	zh-CN-YunzeNeural	serious	-4%	0.94	100
スカサハ	スカサハ	mature_female	zh-CN-XiaomoNeural	serious	-3%	0.94	100
牛若丸	牛若丸	young_female	zh-CN-XiaozhenNeural	cheerful	+4%	1.03	100
オリオン	オリオン	mature_male	zh-CN-YunhaoNeural		-3%	0.96	100
エリセ	エリセ	young_female	zh-CN-XiaohanNeural	serious	+1%	0.97	100
シャルロット・コルデー	シャルロット・コルデー	young_female	zh-TW-HsiaoYuNeural		+2%	0.97	100
ペペロンチーノ	ペペロンチーノ	androgynous	zh-CN-YunxiNeural	chat	+1%	1.02	100
メイヴ	メイヴ	mature_female	zh-CN-XiaomoNeural	affectionate	+1%	0.96	100
